name,Days,Purpose
Afghanistan,,
Angola,,
Albania,,
Argentina,,
Australia,1000,Study
Austria,,
Burundi,,
Belgium,,
Benin,,
Burkina Faso,,
Bangladesh,,
Bulgaria,,
Bahrain,,
Bolivia,,
Brazil,,
Botswana,,
Canada,,
Switzerland,,
Chile,,
China,3,Trip
Cameroon,,
Colombia,,
Comoros,,
Costa Rica,,
Cuba,,
Germany,,
Djibouti,,
Denmark,,
Algeria,,
Ecuador,,
Egypt,,
Eritrea,,
Spain,,
Ethiopia,,
Finland,,
France,,
Gabon,,
United Kingdom,,
Ghana,,
Guinea,,
Gambia,,
Guinea-Bissau,,
Greece,,
Guatemala,,
Honduras,,
Croatia,,
Haiti,,
Hungary,,
Indonesia,,
India,,
Ireland,,
Iran,,
Iraq,,
Iceland,,
Israel,,
Italy,,
Jamaica,,
Jordan,,
Japan,10,Exchange program
Kenya,,
Cambodia,1,Home country
Kuwait,,
Lebanon,,
Liberia,,
Libya,,
Sri Lanka,,
Lesotho,,
Morocco,,
Madagascar,,
Mexico,,
Mali,,
Myanmar,,
Montenegro,,
Mongolia,,
Mozambique,,
Mauritania,,
Mauritius,,
Malawi,,
Malaysia,5,Trip
Namibia,,
Niger,,
Nigeria,,
Nicaragua,,
Netherlands,,
Norway,,
Nepal,,
New Zealand,,
Oman,,
Pakistan,,
Panama,,
Peru,,
Philippines,,
Poland,,
Puerto Rico,,
Portugal,,
Paraguay,,
Romania,,
Rwanda,,
Saudi Arabia,,
Sudan,,
Senegal,,
Singapore,10,Training + Trip
Sierra Leone,,
El Salvador,,
Somalia,,
Serbia,,
Slovenia,,
Sweden,,
Swaziland,,
Syria,,
Chad,,
Togo,,
Thailand,4,Trip
Trinidad and Tobago,,
Tunisia,,
Turkey,,
Taiwan,,
Tanzania,,
Uganda,,
Uruguay,,
United States,,
Venezuela,,
Vietnam,2,Trip
South Africa,,
Zambia,,
Zimbabwe,,